Name	Type	Description	Script Name	AKA	Usage	Uses INFA MX ?	PMREP_Connect ?
cdhs	CMD	Folder change	n/a	hsh	cdhs	N	N
cdibin	CMD	Folder change	n/a	ibin	cdibin	N	N
cdis	CMD	Folder change	n/a	is	cdis	N	N
cdisbw	CMD	Folder change	n/a	isbw	cdisbw	N	N
cdiss	CMD	Folder change	n/a	iss	cdiss	N	N
cdissrc	CMD	Folder change	n/a	n/a	cdissrc	N	N
cdistgt	CMD	Folder change	n/a	n/a	cdistgt	N	N
cdsbin	CMD	Folder change	n/a	sbin	cdsbin	N	N
cdsdb	CMD	Folder change	n/a	sdb	cdsdb	N	N
cdsjav	CMD	Folder change	n/a	sjav	cdsjav	N	N
cdtbin	CMD	Folder change	n/a	tbin	cdtbin	N	N
cdtns	CMD	Folder change	n/a	tns	cdtns	N	N
chowninfaadm	SHELL		/home/infa_adm/scripts/chowninfaadm.sh	n/a	chowninfaadm <file name>	N	N
cls	CMD	Clear screen	n/a	n/a	cls	N	N
color	CMD	Set putty session color	n/a	n/a	color	N	N
cr	CMD	Carriage return	n/a	n/a	cr	N	N
deploy	SHELL		/home/infa_adm/scripts/deploy.sh	n/a	"deploy <target host> <file path> <file name>
deploy <target host> <batch file absolute path>"	N	N
deploy2all	SHELL		/home/infa_adm/scripts/deploy2all.sh	n/a	deploy2all <file path> <file name>	N	N
dfw	CMD	Deletes the folders that correspond to WAR files	n/a	n/a	dfw	N	N
disableuser	INFACMD	Disable INFA user	n/a	n/a	disableuser <INFA userid>	N	N
dsp	SHELL		/home/infa_adm/scripts/ds_purge.sh	n/a	dsp -d <directory> -r <retention days> [-f Y|N]	N	N
ebf	CMD	List applied EBFs for INFA	n/a	n/a	ebf	N	N
enableuser	INFACMD	Enable INFA user	n/a	n/a	enableuser <INFA userid>	N	N
far	SHELL		/home/infa_adm/scripts/find_replace.sh	n/a	far <{all} | file_name> <find text> <replace text>	N	N
fc	CMD	File count in the immediate sub-folder under the current folder	n/a	n/a	fc	N	N
findadgroup	SEC	Find the AD group passed as parameter	n/a	n/a	findadgroup	N	N
findaduser	SEC	Find the AD user passed as parameter	n/a	n/a	findaduser	N	N
findcheckout	PMREP	Find Checkouts in entire repository, except Z folders	n/a	n/a	findcheckout	N	Y
findtext	SHELL		/home/infa_adm/scripts/findtext.sh	n/a	findtext <search text>	N	N
infafind	INFA		/home/infa_adm/scripts/infa_find.sh	fit	infafind <search text>	Y	N
formatcert	SEC		/home/infa_adm/scripts/formatcert.sh	n/a	formatcert <PEM file absolute path>	N	N
fz	CMD	Immediate sub-folder size listing under current folder	n/a	n/a	fz	N	N
gcd	PMREP	Get INFA relational connection details; Parameter = REL connection name	n/a	n/a	gcd <relational DB connection name>	N	Y
gcdapp	PMREP	Get INFA application connection details; Parameter = APP connection name	n/a	n/a	gcdapp <application connection name>	N	Y
gcdftp	PMREP	Get INFA FTP connection details; Parameter = connection name	n/a	n/a	gcdftp <ftp connection name>	N	Y
gci	PMREP	Get Connection Info (not working)	n/a	n/a	gci	N	Y
gk	SHELL		/home/infa_adm/scripts/glossary_knowledgebase.sh	n/a	gk <search text>	N	N
grsd	PMCMD	Get INFA running session details	n/a	n/a	grsd	N	N
